name,category,longitude,latitude,address,rating,city,phone
Texas Cancer Center Nairobi,Specialized Hospitals,36.813861,-1.310971,"Texas Cancer Center Nairobi, Nairobi, Kenya",4.5,Nairobi,+254-020-2712000
Aga Khan University Hospital,Specialized Hospitals,36.8089,-1.2697,"Aga Khan University Hospital, Nairobi, Kenya",4.5,Nairobi,+254-020-3740000
Kenyatta National Hospital,Specialized Hospitals,36.8072,-1.3008,"Kenyatta National Hospital, Nairobi, Kenya",4.5,Nairobi,+254-020-2726300
Mater Hospital,Specialized Hospitals,36.8073,-1.2892,"Mater Hospital, Nairobi, Kenya",4.5,Nairobi,+254-020-2717077
Nairobi Heart Institute,Specialized Hospitals,36.8219,-1.2921,"Nairobi Heart Institute, Nairobi, Kenya",4.5,Nairobi,+254-020-2712000
Coast General Hospital,Specialized Hospitals,39.6808,-4.0647,"Coast General Hospital, Mombasa, Kenya",4.5,Mombasa,+254-041-2312191
Moi Teaching & Referral Hospital,Specialized Hospitals,35.2698,0.5143,"Moi Teaching & Referral Hospital, Eldoret, Kenya",4.5,Eldoret,+254-053-2033471
Jaramogi Oginga Odinga Hospital,Specialized Hospitals,34.771651,-0.08874,"Jaramogi Oginga Odinga Hospital, Kisumu, Kenya",4.5,Kisumu,+254-057-2025751
Nakuru Level 5 Hospital,Specialized Hospitals,36.08,-0.3031,"Nakuru Level 5 Hospital, Nakuru, Kenya",4.5,Nakuru,+254-051-2217102
Little Angels Daycare,Day Care,36.8219,-1.2921,"Little Angels Daycare, Nairobi, Kenya",4.5,Nairobi,+254-020-2345678
Sunshine Kids Academy,Day Care,36.8219,-1.2921,"Sunshine Kids Academy, Nairobi, Kenya",4.5,Nairobi,+254-020-2345679
Bright Stars Nursery,Day Care,39.6682,-4.0435,"Bright Stars Nursery, Mombasa, Kenya",4.5,Mombasa,+254-041-2345680
Golden Years Home,Adult Care,36.8219,-1.2921,"Golden Years Home, Nairobi, Kenya",4.5,Nairobi,+254-020-4567890
Comfort Senior Living,Adult Care,36.08,-0.3031,"Comfort Senior Living, Nakuru, Kenya",4.5,Nakuru,+254-051-4567891
Hope Rehabilitation Center,Disability Care,36.8219,-1.2921,"Hope Rehabilitation Center, Nairobi, Kenya",4.5,Nairobi,+254-020-3456789
Unity Therapy Clinic,Disability Care,34.7617,-0.1022,"Unity Therapy Clinic, Kisumu, Kenya",4.5,Kisumu,+254-057-3456790
Animal Care Veterinary,Pet Care,36.8219,-1.2921,"Animal Care Veterinary, Nairobi, Kenya",4.5,Nairobi,+254-020-5678901
Pet Wellness Center,Pet Care,39.6682,-4.0435,"Pet Wellness Center, Mombasa, Kenya",4.5,Mombasa,+254-041-5678902
Daycare,Day Care,36.8880076,-1.2509143,"Daycare, Community Lane, Korogocho, Korogocho ward, Kasarani, Nairobi, 00623, Kenya",N/A,Nairobi,N/A
Nursery,Day Care,35.7987956,-0.215552,"Nursery, Molo ward, Molo, Nakuru, Rift Valley, Kenya",N/A,Nakuru,N/A
University of Nairobi- College of Agriculture & veterinary Sciences,Pet Care,36.7308408,-1.2531106,"University of Nairobi- College of Agriculture & veterinary Sciences, Kapenguria Road, Kitisuru location, Kitisuru ward, Kangemi division, Westlands, Nairobi, 29039, Kenya",N/A,Nairobi,N/A
University of Nairobi Veterinary Laboratory,Pet Care,36.7422506,-1.2486694,"University of Nairobi Veterinary Laboratory, Loresho Ridge, Kitisuru location, Kitisuru ward, Kangemi division, Westlands, Nairobi, 00604, Kenya",N/A,Nairobi,N/A
Rottcher Veterinary Surgery,Pet Care,36.7209997,-1.3123638,"Rottcher Veterinary Surgery, P.O. Box 24525 Miotoni Rd, Nairobi City, Miotoni Road, Lenana sublocation, Karen ward, Lang'ata, Nairobi, 00505, Kenya",N/A,Nairobi,N/A
Animal Clinic Tudor,Pet Care,39.6693013,-4.034677,"Animal Clinic Tudor, Tom Mboya Road, Tudor, Tudor ward, Mvita, Mombasa, Coast, 80112, Kenya",N/A,Mombasa,N/A
Moi Teaching & Referal Hospital Physiotherapy,Disability Care,35.2815791,0.5125889,"Moi Teaching & Referal Hospital Physiotherapy, Nandi Road, Kimumu ward, Moiben, Uasin Gishu, Rift Valley, 30100, Kenya",N/A,Nandi,N/A
